               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026241,            0.011928,           0.0023775,             0.90907,             0.87985,             0.91798,             0.63924,            0.024494,           0.0095245,            0.002721,            0.006535,            0.006535,            0.006535
                  37,            0.026517,            0.011939,           0.0021916,             0.84943,             0.91025,             0.91216,              0.6442,            0.024518,            0.010272,            0.002653,            0.006436,            0.006436,            0.006436
                  38,            0.026269,            0.012178,           0.0022416,             0.88583,             0.87752,             0.92776,             0.67309,            0.024282,            0.009925,           0.0028882,            0.006337,            0.006337,            0.006337
                  39,            0.026111,            0.012063,            0.002083,             0.87049,             0.90863,             0.90603,             0.65847,            0.024862,            0.009924,            0.004125,            0.006238,            0.006238,            0.006238
                  40,            0.025803,            0.011866,           0.0017714,             0.89782,             0.89425,             0.89952,             0.64057,            0.023513,           0.0096912,           0.0034797,            0.006139,            0.006139,            0.006139
                  41,            0.025451,            0.011063,           0.0018679,             0.90465,             0.92982,             0.93172,             0.63914,            0.023961,           0.0098426,           0.0026854,             0.00604,             0.00604,             0.00604
                  42,            0.025532,            0.011457,           0.0020541,             0.85785,             0.92772,             0.91844,             0.65223,            0.024087,           0.0097964,           0.0028579,            0.005941,            0.005941,            0.005941
                  43,            0.024442,            0.011715,           0.0019627,             0.89853,             0.91715,             0.92319,             0.66141,            0.022748,           0.0097392,           0.0030427,            0.005842,            0.005842,            0.005842
                  44,            0.025093,            0.011445,           0.0020153,             0.89142,             0.94188,             0.93957,             0.64985,             0.02502,           0.0098261,           0.0026266,            0.005743,            0.005743,            0.005743
                  45,            0.025035,            0.011727,           0.0018502,             0.89941,             0.93069,             0.93853,             0.66639,            0.023026,           0.0095867,           0.0019689,            0.005644,            0.005644,            0.005644
                  46,            0.024472,            0.011749,           0.0016837,              0.8975,             0.93231,             0.92627,             0.63172,            0.025423,            0.010432,           0.0029447,            0.005545,            0.005545,            0.005545
                  47,            0.024157,            0.011822,           0.0017048,             0.90402,             0.93593,             0.92891,             0.65117,            0.023935,           0.0097608,           0.0025275,            0.005446,            0.005446,            0.005446
                  48,            0.023772,            0.011512,           0.0015243,             0.90038,             0.90502,             0.91876,             0.64476,            0.023944,            0.010067,           0.0024459,            0.005347,            0.005347,            0.005347
                  49,            0.024061,            0.011081,           0.0015366,             0.89739,             0.92038,             0.92601,             0.65996,            0.023021,           0.0099966,            0.002334,            0.005248,            0.005248,            0.005248
                  50,            0.023781,            0.011033,           0.0015755,             0.90382,             0.95327,             0.93358,             0.66684,            0.022574,            0.010161,           0.0021592,            0.005149,            0.005149,            0.005149
                  51,            0.022941,            0.010982,           0.0014636,             0.90688,             0.90568,              0.9314,             0.65118,            0.022732,           0.0097976,           0.0020345,             0.00505,             0.00505,             0.00505
                  52,            0.023614,            0.011279,           0.0013178,             0.89127,             0.95353,             0.93697,             0.64344,            0.023642,           0.0098586,           0.0025086,            0.004951,            0.004951,            0.004951
                  53,            0.022995,            0.010844,           0.0015061,             0.89594,             0.90371,             0.93716,             0.66373,            0.022374,            0.009791,           0.0021004,            0.004852,            0.004852,            0.004852
                  54,            0.022511,            0.011091,           0.0016186,             0.87802,             0.91673,             0.93018,             0.65935,            0.023953,           0.0097495,           0.0022663,            0.004753,            0.004753,            0.004753
                  55,            0.022823,            0.010723,           0.0018705,             0.81795,             0.95828,             0.91183,              0.6487,            0.023223,           0.0099267,           0.0022796,            0.004654,            0.004654,            0.004654
                  56,            0.022661,            0.011008,           0.0016118,             0.85809,             0.92588,             0.91113,             0.64484,            0.023103,           0.0094238,           0.0025821,            0.004555,            0.004555,            0.004555
                  57,            0.021998,            0.010766,           0.0013532,             0.89771,             0.89473,             0.91196,             0.66146,            0.023708,           0.0098459,            0.002829,            0.004456,            0.004456,            0.004456
                  58,            0.022507,            0.010658,           0.0015121,             0.88428,              0.9339,             0.91788,             0.65268,            0.023339,           0.0095081,           0.0021719,            0.004357,            0.004357,            0.004357
                  59,            0.022192,            0.010653,           0.0011309,             0.87455,             0.89569,             0.91862,             0.65988,            0.024166,           0.0099188,           0.0018851,            0.004258,            0.004258,            0.004258
                  60,            0.021369,            0.010609,           0.0011452,             0.88763,             0.92105,             0.93202,             0.67337,            0.022342,           0.0099911,           0.0022669,            0.004159,            0.004159,            0.004159
                  61,             0.02167,            0.010567,            0.001394,             0.89376,             0.96115,             0.93518,              0.6754,            0.022718,           0.0093664,           0.0018683,             0.00406,             0.00406,             0.00406
                  62,            0.021595,            0.010149,           0.0011672,             0.92096,              0.9146,             0.94501,             0.67876,            0.023355,           0.0098026,           0.0019167,            0.003961,            0.003961,            0.003961
                  63,            0.021184,            0.010235,           0.0010711,             0.88173,             0.95499,             0.93354,              0.6578,            0.023242,            0.010425,           0.0020368,            0.003862,            0.003862,            0.003862
                  64,            0.020949,           0.0099979,           0.0010199,             0.88752,             0.95441,             0.94177,             0.66901,            0.023584,            0.010434,           0.0021433,            0.003763,            0.003763,            0.003763
                  65,            0.021261,             0.01059,           0.0010691,              0.8626,             0.93394,             0.91732,             0.66395,            0.023544,            0.010057,           0.0026447,            0.003664,            0.003664,            0.003664
                  66,            0.020277,            0.010357,           0.0010806,             0.87343,             0.91042,             0.90297,             0.65413,            0.023799,           0.0098321,           0.0028806,            0.003565,            0.003565,            0.003565
                  67,            0.020255,            0.010153,          0.00092977,             0.90783,             0.92268,              0.9284,             0.66662,            0.023246,            0.010505,           0.0025779,            0.003466,            0.003466,            0.003466
                  68,            0.020478,            0.010091,           0.0012516,             0.87405,             0.92308,              0.9327,             0.67052,             0.02363,            0.010362,           0.0023647,            0.003367,            0.003367,            0.003367
                  69,            0.019943,            0.010104,          0.00099327,             0.88226,             0.90134,             0.92198,             0.66887,            0.023138,            0.010389,           0.0022475,            0.003268,            0.003268,            0.003268
                  70,            0.020393,            0.010183,           0.0011422,             0.91257,             0.90189,             0.92948,             0.66464,            0.022756,            0.010875,           0.0021014,            0.003169,            0.003169,            0.003169
                  71,            0.019975,            0.010017,          0.00088928,             0.84511,             0.92864,              0.9156,             0.65445,            0.023058,            0.010113,           0.0026285,             0.00307,             0.00307,             0.00307
                  72,            0.019378,            0.009919,          0.00086658,             0.85184,             0.92428,             0.92381,             0.66446,            0.022334,            0.010043,           0.0024683,            0.002971,            0.002971,            0.002971
                  73,            0.019608,            0.009976,           0.0010402,             0.89356,             0.87689,             0.92926,             0.68164,            0.022518,            0.010594,           0.0027116,            0.002872,            0.002872,            0.002872
                  74,            0.019484,           0.0098917,          0.00078942,             0.90724,             0.89107,             0.92584,             0.66429,            0.022312,            0.010324,            0.002588,            0.002773,            0.002773,            0.002773
                  75,            0.019321,           0.0097194,          0.00083438,             0.87867,             0.88266,             0.92227,             0.67581,             0.02242,            0.010447,           0.0027143,            0.002674,            0.002674,            0.002674
                  76,            0.019048,           0.0097993,          0.00087248,             0.89031,             0.89377,             0.92566,             0.66485,            0.022363,           0.0099696,           0.0025857,            0.002575,            0.002575,            0.002575
                  77,            0.019168,           0.0096181,          0.00092745,             0.90787,             0.87228,             0.91843,             0.66693,            0.022635,            0.010448,           0.0025241,            0.002476,            0.002476,            0.002476
                  78,            0.018577,           0.0095076,          0.00079595,             0.89955,             0.90016,             0.91962,             0.65585,             0.02277,            0.010607,           0.0023735,            0.002377,            0.002377,            0.002377
                  79,            0.018661,           0.0096236,          0.00066523,             0.89181,             0.89003,             0.91512,             0.66112,            0.022215,            0.010316,           0.0024751,            0.002278,            0.002278,            0.002278
                  80,            0.018773,           0.0095102,          0.00074896,             0.85818,             0.91418,             0.91142,             0.66829,            0.022707,             0.01038,           0.0024313,            0.002179,            0.002179,            0.002179
                  81,             0.01829,           0.0095844,          0.00068849,             0.87281,             0.92112,             0.92949,             0.67258,            0.023057,            0.010328,           0.0021788,             0.00208,             0.00208,             0.00208
