               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028082,            0.010816,            0.004239,             0.89853,             0.76415,             0.83406,             0.54638,            0.024641,            0.007696,            0.003742,            0.006535,            0.006535,            0.006535
                  37,             0.02731,            0.010482,           0.0045903,             0.90843,             0.80094,             0.82693,             0.55128,            0.024049,           0.0074555,             0.00361,            0.006436,            0.006436,            0.006436
                  38,            0.027115,            0.010343,           0.0044631,             0.91211,             0.79959,             0.84854,             0.56881,             0.02504,           0.0072508,           0.0030414,            0.006337,            0.006337,            0.006337
                  39,            0.027404,            0.010496,           0.0036822,             0.91245,             0.80484,              0.8539,             0.58543,            0.025966,           0.0072085,           0.0031427,            0.006238,            0.006238,            0.006238
                  40,            0.026859,            0.010332,           0.0037796,             0.91838,             0.78084,             0.85338,             0.56982,            0.025218,           0.0072356,           0.0034851,            0.006139,            0.006139,            0.006139
                  41,            0.026437,            0.010139,            0.003751,             0.89092,             0.82322,             0.82532,             0.57079,            0.023677,            0.007169,           0.0029303,             0.00604,             0.00604,             0.00604
                  42,            0.026732,           0.0099232,           0.0035352,              0.9107,              0.8147,             0.82318,             0.55183,            0.024268,           0.0074087,           0.0031161,            0.005941,            0.005941,            0.005941
                  43,            0.026954,            0.010095,           0.0036886,             0.92829,             0.81821,             0.84229,             0.56986,            0.025581,           0.0071625,           0.0031073,            0.005842,            0.005842,            0.005842
                  44,             0.02612,            0.010166,           0.0042158,             0.90533,             0.79511,             0.83768,             0.59147,            0.022641,           0.0070789,           0.0033515,            0.005743,            0.005743,            0.005743
                  45,            0.025921,            0.010214,           0.0036847,             0.91194,             0.81094,             0.83879,             0.56329,            0.024658,           0.0070897,           0.0040863,            0.005644,            0.005644,            0.005644
                  46,            0.025705,            0.010182,           0.0033981,             0.93074,             0.78245,              0.8476,             0.57295,            0.023775,           0.0071326,           0.0032672,            0.005545,            0.005545,            0.005545
                  47,            0.025076,           0.0097815,            0.003581,             0.90869,             0.79688,             0.85726,             0.59357,            0.024589,            0.007102,           0.0028519,            0.005446,            0.005446,            0.005446
                  48,            0.026047,           0.0097192,           0.0035506,              0.9153,             0.80396,             0.84645,             0.59408,            0.022768,           0.0071416,           0.0029731,            0.005347,            0.005347,            0.005347
                  49,            0.024464,           0.0098509,           0.0031113,             0.90944,             0.79758,             0.84582,              0.5752,            0.024411,           0.0072826,           0.0031486,            0.005248,            0.005248,            0.005248
                  50,             0.02475,           0.0098624,           0.0033885,             0.92385,             0.77972,             0.84012,             0.57774,            0.022814,           0.0071853,           0.0028738,            0.005149,            0.005149,            0.005149
                  51,            0.024899,           0.0094657,           0.0030033,              0.9065,             0.80198,             0.84619,             0.58107,            0.022836,             0.00705,           0.0031114,             0.00505,             0.00505,             0.00505
                  52,            0.024354,           0.0096135,           0.0030006,             0.89913,             0.80385,             0.83323,             0.58683,            0.023206,           0.0070477,           0.0027753,            0.004951,            0.004951,            0.004951
                  53,            0.024586,           0.0094394,           0.0028668,             0.91714,             0.80003,             0.87452,             0.61235,            0.022464,           0.0069576,            0.002746,            0.004852,            0.004852,            0.004852
                  54,            0.024288,           0.0096811,           0.0025702,             0.92344,             0.79632,             0.84487,             0.60048,            0.022129,           0.0070085,           0.0025645,            0.004753,            0.004753,            0.004753
                  55,             0.02386,           0.0096481,           0.0025685,             0.91333,             0.80127,             0.84376,              0.5967,            0.022747,           0.0070146,           0.0025416,            0.004654,            0.004654,            0.004654
                  56,            0.023191,           0.0094451,           0.0031366,             0.90448,             0.81186,             0.87348,             0.59975,            0.022146,           0.0069819,           0.0027022,            0.004555,            0.004555,            0.004555
                  57,            0.023112,            0.009623,           0.0028535,             0.88178,              0.8313,             0.87475,              0.6016,            0.022571,           0.0069489,           0.0026769,            0.004456,            0.004456,            0.004456
                  58,            0.022595,           0.0092489,           0.0025986,             0.91409,             0.79548,             0.87469,             0.59554,            0.023101,           0.0069625,           0.0025449,            0.004357,            0.004357,            0.004357
                  59,            0.023848,           0.0096111,           0.0026816,             0.91098,             0.81208,              0.8496,             0.58842,            0.022068,           0.0068267,           0.0026255,            0.004258,            0.004258,            0.004258
                  60,            0.022988,           0.0091528,           0.0028661,              0.9192,             0.78505,             0.85795,             0.60314,            0.022132,           0.0072182,           0.0025508,            0.004159,            0.004159,            0.004159
                  61,            0.022287,           0.0091145,           0.0030174,             0.92386,             0.79056,             0.87024,             0.61261,            0.021649,           0.0071486,           0.0024952,             0.00406,             0.00406,             0.00406
                  62,            0.022432,           0.0091005,           0.0024101,             0.91879,             0.80317,             0.86892,              0.6067,            0.021953,           0.0069757,           0.0024713,            0.003961,            0.003961,            0.003961
                  63,            0.022003,           0.0092628,           0.0028329,             0.91149,             0.81502,              0.8796,             0.61522,            0.021994,           0.0069707,           0.0024843,            0.003862,            0.003862,            0.003862
                  64,            0.022443,           0.0091634,           0.0025711,             0.91564,             0.79788,              0.8707,             0.61787,            0.022025,           0.0070648,           0.0025661,            0.003763,            0.003763,            0.003763
                  65,            0.021957,           0.0093539,           0.0025797,             0.91945,             0.79754,             0.88335,             0.61539,            0.021115,           0.0068554,           0.0022893,            0.003664,            0.003664,            0.003664
                  66,            0.022087,           0.0092312,           0.0022749,             0.91264,             0.80953,             0.88073,             0.61736,            0.021624,           0.0067982,            0.002219,            0.003565,            0.003565,            0.003565
                  67,            0.022144,            0.008835,           0.0022243,             0.91049,             0.79965,             0.88342,             0.61867,            0.021709,           0.0069865,             0.00213,            0.003466,            0.003466,            0.003466
                  68,            0.021514,           0.0089284,           0.0020886,             0.92392,             0.81792,             0.89743,             0.63148,            0.021593,           0.0068371,           0.0021617,            0.003367,            0.003367,            0.003367
                  69,            0.021599,           0.0090375,           0.0022545,             0.91999,             0.81166,             0.88178,             0.62243,            0.021022,           0.0068173,           0.0024062,            0.003268,            0.003268,            0.003268
                  70,            0.020698,           0.0093549,            0.002095,             0.91056,             0.82551,             0.88494,             0.61863,            0.020913,            0.006908,           0.0022334,            0.003169,            0.003169,            0.003169
                  71,            0.020737,           0.0088995,           0.0026277,             0.91549,             0.80065,             0.88232,             0.62263,            0.021085,           0.0069968,           0.0021376,             0.00307,             0.00307,             0.00307
                  72,            0.020809,           0.0089441,           0.0022534,             0.77056,             0.88002,             0.88877,             0.62633,            0.021144,           0.0069291,           0.0020216,            0.002971,            0.002971,            0.002971
                  73,            0.020772,           0.0090162,            0.002206,             0.75637,             0.93225,             0.90537,             0.64734,            0.020643,           0.0068473,           0.0020046,            0.002872,            0.002872,            0.002872
                  74,            0.020304,           0.0088497,           0.0021275,             0.75796,             0.94968,             0.89904,             0.63663,            0.020961,           0.0069301,           0.0018042,            0.002773,            0.002773,            0.002773
                  75,            0.020209,           0.0088451,           0.0020471,             0.76095,             0.91457,             0.88938,              0.6342,            0.021521,           0.0069358,           0.0019972,            0.002674,            0.002674,            0.002674
                  76,            0.020153,           0.0088644,            0.001889,             0.77595,               0.912,              0.9066,             0.64417,            0.021028,           0.0069078,           0.0019801,            0.002575,            0.002575,            0.002575
                  77,            0.019889,           0.0088814,           0.0021013,             0.78954,             0.91635,             0.91207,             0.66317,            0.020228,           0.0066214,           0.0020287,            0.002476,            0.002476,            0.002476
                  78,            0.019623,           0.0084094,            0.001792,             0.81696,             0.91635,             0.90253,              0.6479,            0.020211,           0.0066707,           0.0020166,            0.002377,            0.002377,            0.002377
                  79,            0.020044,           0.0088265,           0.0018405,             0.79828,             0.90726,             0.91989,             0.66389,            0.020777,           0.0068131,           0.0020111,            0.002278,            0.002278,            0.002278
                  80,            0.019146,           0.0084871,           0.0018107,             0.80194,             0.92309,             0.91611,             0.65219,            0.020483,           0.0068981,           0.0020126,            0.002179,            0.002179,            0.002179
                  81,            0.019342,           0.0088671,           0.0016344,             0.82214,             0.91731,             0.91118,             0.65335,            0.020421,            0.006779,           0.0018337,             0.00208,             0.00208,             0.00208
                  82,            0.018965,             0.00863,           0.0017391,             0.84276,             0.87797,             0.90925,             0.65677,            0.020423,           0.0069072,           0.0018931,            0.001981,            0.001981,            0.001981
                  83,            0.019172,           0.0087678,           0.0016532,             0.87858,             0.87772,             0.90656,             0.65202,            0.020851,            0.006884,           0.0015735,            0.001882,            0.001882,            0.001882
                  84,            0.018411,           0.0084969,           0.0017011,             0.85624,             0.88505,             0.91053,             0.65287,            0.020507,           0.0067261,            0.001631,            0.001783,            0.001783,            0.001783
                  85,            0.018273,           0.0086567,           0.0016177,             0.85309,             0.89246,             0.92035,             0.66026,            0.020192,           0.0067893,            0.001708,            0.001684,            0.001684,            0.001684
