               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027157,            0.012106,           0.0022486,             0.90101,             0.86328,             0.90962,             0.63636,            0.023718,           0.0096621,           0.0029812,            0.006535,            0.006535,            0.006535
                  37,            0.027061,            0.012073,           0.0020566,             0.90507,             0.84885,             0.90407,             0.62866,            0.026082,            0.010295,           0.0033306,            0.006436,            0.006436,            0.006436
                  38,            0.025922,            0.012213,           0.0021351,             0.91266,              0.8484,             0.90359,             0.62795,             0.02531,            0.010172,           0.0030135,            0.006337,            0.006337,            0.006337
                  39,            0.026458,            0.012144,           0.0021096,             0.86581,             0.91606,             0.92069,             0.66258,            0.025654,            0.010333,           0.0026319,            0.006238,            0.006238,            0.006238
                  40,            0.026487,            0.012125,           0.0018994,             0.87136,             0.90735,             0.92451,             0.63159,            0.023812,           0.0098517,           0.0024222,            0.006139,            0.006139,            0.006139
                  41,            0.025642,            0.011113,           0.0017656,             0.89996,             0.89463,             0.93245,             0.65727,            0.024113,           0.0099181,           0.0021639,             0.00604,             0.00604,             0.00604
                  42,            0.025653,            0.011681,            0.002154,             0.90387,             0.92622,             0.93364,             0.64487,            0.024176,           0.0092499,            0.002276,            0.005941,            0.005941,            0.005941
                  43,            0.025078,            0.011559,           0.0017088,             0.84851,             0.92507,             0.93698,             0.66449,            0.023243,           0.0097803,           0.0023039,            0.005842,            0.005842,            0.005842
                  44,            0.024785,            0.011337,           0.0018365,             0.91254,              0.8953,             0.93876,             0.64193,            0.023788,           0.0097269,           0.0020731,            0.005743,            0.005743,            0.005743
                  45,             0.02481,            0.011623,           0.0016219,             0.89521,             0.92993,             0.94533,             0.67751,            0.022892,            0.010278,           0.0019485,            0.005644,            0.005644,            0.005644
                  46,             0.02437,            0.011854,           0.0019508,             0.85696,             0.92581,             0.92589,             0.63019,            0.024483,            0.010632,           0.0019628,            0.005545,            0.005545,            0.005545
                  47,            0.023885,             0.01164,           0.0017489,             0.90949,             0.92938,             0.91858,             0.65025,            0.023585,            0.010147,           0.0023406,            0.005446,            0.005446,            0.005446
                  48,            0.023888,            0.011431,           0.0015729,             0.87698,             0.92985,             0.92145,             0.64926,            0.024379,           0.0099558,           0.0023077,            0.005347,            0.005347,            0.005347
                  49,            0.024039,            0.011162,           0.0015942,             0.90313,             0.91037,             0.93005,             0.65707,            0.024554,            0.009721,           0.0022987,            0.005248,            0.005248,            0.005248
                  50,            0.024302,            0.011125,           0.0016081,             0.89257,              0.9247,             0.92812,             0.67169,            0.023085,           0.0097756,           0.0026128,            0.005149,            0.005149,            0.005149
                  51,            0.023539,             0.01107,           0.0014949,             0.90679,             0.89561,             0.92457,             0.66124,            0.023485,           0.0098327,           0.0025065,             0.00505,             0.00505,             0.00505
                  52,            0.022934,            0.011192,           0.0013722,             0.87444,             0.92755,             0.92005,             0.65017,            0.022632,            0.009595,           0.0019081,            0.004951,            0.004951,            0.004951
                  53,            0.022741,            0.010749,           0.0013203,             0.90105,             0.92341,              0.9296,             0.67482,            0.022314,           0.0094239,            0.002021,            0.004852,            0.004852,            0.004852
                  54,            0.023176,            0.011167,           0.0015599,             0.87309,             0.91944,             0.92566,             0.65628,            0.024136,           0.0097172,           0.0023001,            0.004753,            0.004753,            0.004753
                  55,            0.022649,            0.010555,            0.001623,             0.91621,              0.9039,             0.93838,             0.66989,            0.022498,           0.0095441,           0.0020361,            0.004654,            0.004654,            0.004654
                  56,            0.022673,            0.010965,           0.0014271,             0.82887,             0.92997,             0.90382,             0.64668,            0.022732,           0.0095787,           0.0026544,            0.004555,            0.004555,            0.004555
                  57,            0.021663,            0.010627,           0.0013572,             0.91629,             0.92706,             0.92402,             0.68439,            0.022441,           0.0097583,           0.0025125,            0.004456,            0.004456,            0.004456
                  58,            0.022321,            0.010725,           0.0014759,              0.8942,             0.90544,             0.91568,              0.6641,            0.022546,             0.00956,           0.0028651,            0.004357,            0.004357,            0.004357
                  59,            0.021897,            0.010683,           0.0011505,             0.86025,             0.93735,             0.93801,             0.67429,            0.022865,           0.0095856,           0.0017866,            0.004258,            0.004258,            0.004258
                  60,            0.021492,            0.010523,           0.0011656,             0.88142,             0.92874,             0.93447,             0.67215,            0.021756,           0.0096826,           0.0021933,            0.004159,            0.004159,            0.004159
                  61,            0.021602,            0.010548,           0.0012737,             0.87573,              0.9305,              0.9336,             0.67824,            0.022706,           0.0097326,           0.0019586,             0.00406,             0.00406,             0.00406
                  62,            0.021463,            0.010126,           0.0012347,             0.87482,             0.93613,             0.93417,             0.68666,            0.022493,           0.0096159,           0.0024228,            0.003961,            0.003961,            0.003961
                  63,            0.020909,             0.01018,           0.0011165,             0.90139,             0.91457,             0.93828,             0.66792,            0.023187,           0.0097871,           0.0025397,            0.003862,            0.003862,            0.003862
                  64,            0.020936,            0.010111,           0.0013332,             0.90658,             0.91629,             0.93737,             0.67479,            0.022486,           0.0096923,           0.0020915,            0.003763,            0.003763,            0.003763
