               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.018138,            0.009589,          0.00074061,             0.92346,             0.90354,             0.92685,             0.68335,            0.022414,           0.0093426,            0.002111,            0.001882,            0.001882,            0.001882
                  84,            0.018171,           0.0094503,          0.00077333,             0.90667,             0.92866,             0.92955,             0.68642,            0.021962,           0.0091959,           0.0021771,            0.001783,            0.001783,            0.001783
                  85,            0.017683,           0.0094183,          0.00077023,             0.90235,             0.93601,              0.9259,             0.68258,            0.021608,           0.0091048,           0.0021224,            0.001684,            0.001684,            0.001684
                  86,            0.017585,           0.0093395,          0.00051821,             0.86286,             0.93293,             0.92172,               0.676,            0.022162,           0.0091951,           0.0020588,            0.001585,            0.001585,            0.001585
                  87,            0.017388,           0.0094064,          0.00075707,             0.87489,             0.93315,              0.9224,             0.66679,            0.021986,           0.0094637,           0.0020492,            0.001486,            0.001486,            0.001486
                  88,            0.017473,            0.008812,           0.0006866,             0.85976,             0.93595,             0.91964,             0.67099,            0.022416,           0.0096905,           0.0022662,            0.001387,            0.001387,            0.001387
                  89,            0.018107,           0.0090832,          0.00074846,             0.89978,              0.9008,             0.91792,             0.67851,            0.021728,           0.0094901,           0.0025595,            0.001288,            0.001288,            0.001288
                  90,            0.017437,           0.0092702,          0.00057603,             0.87013,             0.92825,             0.92105,             0.67947,            0.021914,           0.0095543,           0.0024252,            0.001189,            0.001189,            0.001189
                  91,             0.01698,           0.0089679,          0.00058954,             0.90404,             0.90014,              0.9256,             0.68034,            0.022292,           0.0094511,           0.0022912,             0.00109,             0.00109,             0.00109
                  92,            0.017261,            0.009023,          0.00049992,             0.88183,             0.91031,             0.92947,             0.67288,            0.022644,           0.0095565,            0.002201,            0.000991,            0.000991,            0.000991
                  93,            0.016854,           0.0091117,           0.0004772,             0.88592,             0.89928,             0.92428,             0.67859,            0.022183,           0.0096733,           0.0026737,            0.000892,            0.000892,            0.000892
                  94,            0.016722,           0.0090032,          0.00080641,             0.88373,             0.92509,             0.92779,             0.67551,            0.022199,           0.0095479,           0.0026471,            0.000793,            0.000793,            0.000793
                  95,            0.016584,           0.0089992,          0.00051715,             0.90928,             0.88121,             0.91922,             0.67445,            0.022263,           0.0095769,           0.0027442,            0.000694,            0.000694,            0.000694
                  96,            0.016385,           0.0089534,            0.000449,             0.87311,             0.92209,             0.92539,             0.67119,            0.022206,            0.009582,           0.0026816,            0.000595,            0.000595,            0.000595
                  97,            0.016353,           0.0085986,            0.000535,             0.87212,             0.92042,              0.9247,             0.65954,            0.022332,           0.0095004,           0.0025747,            0.000496,            0.000496,            0.000496
                  98,            0.016495,            0.008801,          0.00058229,             0.88154,             0.91895,             0.92727,             0.67739,            0.022301,            0.009493,           0.0025768,            0.000397,            0.000397,            0.000397
                  99,            0.015927,           0.0083041,          0.00047736,             0.86962,             0.93096,             0.92641,             0.67571,            0.021983,           0.0094715,           0.0025158,            0.000298,            0.000298,            0.000298
