               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.02947,            0.010554,           0.0046127,             0.90524,             0.81124,             0.82657,             0.53785,            0.027052,           0.0077239,           0.0033919,            0.008317,            0.008317,            0.008317
                  36,            0.029868,            0.010768,           0.0041998,             0.92559,             0.75913,             0.82172,             0.54045,            0.026034,           0.0077283,            0.003795,           0.0082675,           0.0082675,           0.0082675
                  37,             0.02874,            0.010648,           0.0047619,             0.89989,             0.79393,             0.83071,             0.55303,            0.024657,           0.0075204,           0.0036844,            0.008218,            0.008218,            0.008218
                  38,            0.028096,            0.010477,           0.0046064,             0.91006,             0.80172,             0.83827,             0.57594,            0.025327,           0.0073696,           0.0035876,           0.0081685,           0.0081685,           0.0081685
                  39,            0.028159,            0.010744,           0.0043718,             0.89304,             0.81983,             0.83924,             0.56091,            0.025354,           0.0074831,           0.0031115,            0.008119,            0.008119,            0.008119
                  40,            0.028213,            0.010548,           0.0040241,             0.90774,             0.79238,             0.83549,             0.55618,            0.025486,           0.0073908,           0.0032002,           0.0080695,           0.0080695,           0.0080695
                  41,            0.027099,            0.010334,           0.0039812,             0.92951,             0.79231,             0.85043,             0.56924,            0.025646,           0.0074411,           0.0036065,             0.00802,             0.00802,             0.00802
                  42,            0.027876,            0.010279,           0.0039865,             0.89989,             0.81103,              0.8331,             0.55547,             0.02503,           0.0073732,           0.0033096,           0.0079705,           0.0079705,           0.0079705
                  43,            0.028732,             0.01031,           0.0039458,             0.89345,             0.81823,             0.85181,             0.57247,            0.026933,           0.0075537,           0.0032567,            0.007921,            0.007921,            0.007921
                  44,            0.027984,            0.010289,           0.0046709,             0.89231,              0.8032,              0.8506,             0.57302,            0.024471,           0.0073055,             0.00365,           0.0078715,           0.0078715,           0.0078715
                  45,            0.027435,            0.010346,           0.0037342,             0.88621,             0.81763,               0.847,             0.56849,            0.025046,           0.0076772,           0.0029716,            0.007822,            0.007822,            0.007822
